age,income,land_area,rainfall_last_year,market_price,upi_usage_score,crop_type_rice,crop_type_sugarcane,crop_type_wheat,Loan_Eligible
61,54500,3.29,448,1530,0.63,0,0,1,1
20,49091,3.62,617,2335,0.8,0,1,0,1
54,50868,4.9,963,2344,0.94,1,0,0,1
24,43830,4.65,863,2027,0.9,0,0,1,1
38,58274,2.24,912,2253,0.69,0,1,0,1
26,20822,1.72,650,1215,0.39,0,1,0,1
56,42844,1.22,630,2330,0.4,0,1,0,1
35,59074,0.8,753,2190,0.65,0,1,0,1
21,29244,4.26,1144,2371,0.73,1,0,0,1
42,29207,4.58,818,1377,0.98,1,0,0,1
31,54487,4.36,916,1599,0.28,0,1,0,1
26,58556,2.17,455,1279,0.04,0,1,0,1
43,13201,3.74,1135,2375,0.55,0,0,1,1
19,32429,1.14,613,1551,0.14,0,1,0,1
37,51282,3.76,872,1694,0.61,0,1,0,1
45,58556,2.11,723,2162,0.25,0,1,0,1
64,59817,1.97,808,1574,0.1,1,0,0,1
24,15648,4.14,640,1379,0.84,0,1,0,1
61,18741,3.69,761,1733,0.87,1,0,0,1
25,46674,3.65,573,2051,0.91,0,1,0,1
64,39752,3.52,1099,2403,0.29,0,1,0,1
52,21424,2.96,627,1779,0.7,0,1,0,1
31,15981,1.26,1004,1939,0.63,0,1,0,1
34,48350,1.66,1081,2082,0.09,0,0,1,1
53,17517,3.08,1036,1948,0.27,1,0,0,1
57,49231,4.02,1045,1010,0.86,0,0,1,1
21,34934,3.38,702,1620,0.5,0,1,0,1
19,28415,2.28,1033,1320,0.08,1,0,0,1
23,29975,3.3,403,1263,0.84,0,0,1,1
59,26165,1.97,516,1317,0.51,1,0,0,1
21,29488,3.16,693,2260,0.04,0,0,1,1
46,30911,3.98,1074,2407,0.28,0,1,0,1
35,29808,1.21,828,2161,0.97,0,1,0,1
43,36698,0.81,683,1207,0.85,0,0,1,1
61,33402,2.31,554,1678,0.15,1,0,0,1
51,17538,3.88,1168,1127,0.89,0,1,0,1
27,56378,1.03,868,1232,0.69,0,0,1,1
53,51240,4.98,1161,1000,0.91,1,0,0,1
31,14622,4.03,969,1723,0.16,0,1,0,1
48,10521,3.7,617,2022,0.67,0,0,1,1
32,31907,2.28,688,2283,0.96,1,0,0,1
25,58994,4.18,694,1352,0.34,0,0,1,1
31,21361,2.1,1187,2158,0.64,0,0,1,1
40,22500,2.59,1160,1129,0.33,0,1,0,1
57,52808,0.82,449,1691,0.4,0,0,1,1
38,15165,4.9,1118,1430,0.09,0,0,1,1
33,50814,3.28,1186,2484,0.63,0,1,0,1
62,45319,1.58,951,1478,0.69,0,0,1,1
35,21495,3.32,1164,1357,0.3,1,0,0,1
64,12176,3.99,425,1914,0.74,0,1,0,1
41,56872,3.95,1166,1475,0.61,0,1,0,1
43,51005,0.5,434,2342,0.02,1,0,0,1
42,51914,3.92,527,1574,0.08,0,1,0,1
62,25805,2.85,524,2483,0.06,0,0,1,1
58,43746,4.18,933,1875,0.36,0,0,1,1
46,29207,1.39,1014,2201,0.74,1,0,0,1
32,39224,1.74,422,1291,0.35,0,1,0,1
62,34401,0.73,1099,1989,0.92,0,0,1,1
18,58382,1.94,692,2479,0.13,0,0,1,1
42,35216,2.33,606,2014,0.69,0,1,0,1
24,38782,1.34,547,1759,0.48,0,0,1,1
26,38896,3.56,1181,1190,0.81,0,1,0,1
41,25552,4.57,407,2366,0.2,0,0,1,1
18,52100,0.68,570,2183,0.22,0,0,1,1
61,10387,1.98,678,1924,0.71,0,0,1,1
25,12896,1.21,1104,1217,0.27,1,0,0,1
41,50321,0.86,1059,1693,0.7,1,0,0,1
28,53430,1.49,681,1462,0.25,1,0,0,1
34,29710,2.83,510,2381,0.75,0,1,0,1
25,35525,3.11,529,1849,0.12,0,0,1,1
52,58777,0.94,1170,1418,0.76,0,0,1,1
52,44089,4.6,1027,1049,0.68,0,0,1,1
50,19772,1.46,419,1368,0.75,0,0,1,1
22,32116,3.9,921,1430,0.77,1,0,0,1
59,22697,3.49,940,1589,0.23,0,1,0,1
56,12842,4.07,1103,1824,0.99,1,0,0,1
58,43688,2.53,678,1096,0.42,0,0,1,1
45,35372,3.63,1103,2451,0.3,0,0,1,1
24,16509,4.48,1016,2148,0.02,1,0,0,1
26,24801,1.08,970,1157,0.54,0,0,1,1
25,50469,3.29,685,1136,0.03,1,0,0,1
29,59595,2.81,1107,1712,0.66,0,1,0,1
51,43113,2.52,935,1875,0.81,1,0,0,1
50,11715,4.62,1085,2028,0.89,0,0,1,1
40,31076,4.99,994,2058,0.69,0,0,1,1
41,40100,2.27,724,1399,0.12,1,0,0,1
54,11159,2.62,796,1565,0.77,0,1,0,1
52,10321,3.19,451,2221,0.28,0,1,0,1
61,24561,2.94,413,2290,0.73,0,1,0,1
57,12065,3.16,766,2105,0.34,0,0,1,1
39,41568,0.81,595,2344,0.26,0,0,1,1
44,50590,3.33,655,1280,0.44,1,0,0,1
52,59922,3.4,1106,1953,0.7,0,0,1,1
18,33380,4.41,949,1298,0.03,0,0,1,1
52,18786,2.85,566,1727,0.32,0,0,1,1
54,15434,1.72,1037,1517,0.77,0,1,0,1
64,18313,2.76,936,1402,0.49,0,0,1,1
31,42159,2.77,1084,2379,0.41,1,0,0,1
20,34586,3.4,534,1782,0.03,1,0,0,1
18,48865,2.75,759,1002,0.28,0,0,1,1
22,49324,2.29,701,1167,0.83,1,0,0,1
43,36434,4.37,936,1286,0.02,0,0,1,1
31,42241,4.87,827,1303,0.31,0,0,1,1
56,26771,2.93,1151,1326,0.7,0,0,1,1
44,10219,3.32,404,1347,0.85,0,0,1,1
26,19352,3.35,757,2326,0.19,0,0,1,1
32,58293,2.85,714,1892,0.61,0,1,0,1
32,34326,0.97,956,2479,0.56,0,0,1,1
43,37042,0.73,1142,2225,0.58,0,0,1,1
59,43198,4.36,468,2307,0.06,0,0,1,1
30,53041,1.55,816,1234,0.17,1,0,0,1
49,22606,3.4,817,2242,0.73,0,0,1,1
56,37912,3.32,1121,1085,0.28,0,0,1,1
49,22562,3.06,436,2084,0.78,1,0,0,1
21,27817,1.09,1163,1912,0.15,1,0,0,1
47,35773,0.77,734,1681,0.54,0,1,0,1
54,19527,1.48,893,1423,0.96,0,1,0,1
40,31162,3.23,1153,2235,0.86,0,1,0,1
56,21677,2.96,459,1028,0.66,1,0,0,1
62,47415,3.76,838,2312,0.15,0,1,0,1
32,17651,2.28,576,1240,0.83,1,0,0,1
60,38854,4.01,1196,2004,0.38,0,0,1,1
46,43209,2.99,967,1083,0.1,0,1,0,1
53,48686,0.85,426,1316,0.42,0,0,1,1
30,43257,0.95,422,1738,0.3,1,0,0,1
49,58174,1.72,792,1195,0.86,1,0,0,1
24,13020,2.22,1145,2356,0.6,0,1,0,1
39,53300,4.85,994,1109,0.49,1,0,0,1
45,38637,4.59,792,1778,0.05,1,0,0,1
19,30152,3.07,1165,1041,0.82,0,1,0,1
59,20318,1.4,573,1173,0.13,0,1,0,1
62,31688,4.91,440,2205,0.69,0,0,1,1
23,39282,2.92,1138,2124,0.45,1,0,0,1
45,31378,3.15,787,1805,0.69,1,0,0,1
45,28076,2.73,1024,2315,0.69,1,0,0,1
61,13543,2.86,1104,2039,0.95,1,0,0,1
61,37222,3.75,771,1826,0.72,0,0,1,1
37,12376,1.31,783,1957,0.89,1,0,0,1
47,57100,2.74,527,2165,0.82,0,0,1,1
28,36113,1.18,1024,1486,0.62,0,0,1,1
45,10398,1.34,1193,2459,0.68,1,0,0,1
42,18159,2.55,496,2375,0.42,0,0,1,1
56,48646,1.52,927,1819,0.32,0,0,1,1
50,30124,4.8,868,1453,0.25,0,1,0,1
18,33847,1.08,794,1028,0.73,0,1,0,1
44,52720,4.92,1188,1916,0.09,0,1,0,1
30,15433,4.74,622,2237,0.85,0,1,0,1
58,31830,4.18,580,1133,0.01,0,0,1,1
20,28650,3.09,622,1753,0.59,1,0,0,1
56,50613,2.62,891,1781,0.89,0,1,0,1
23,16814,3.78,594,2085,0.13,0,0,1,1
25,11661,1.0,568,1325,0.5,0,0,1,1
44,42448,3.02,455,1918,0.17,0,0,1,1
26,20538,4.54,430,1872,0.29,0,1,0,1
54,12202,3.21,1052,1159,0.79,0,1,0,1
50,11653,1.92,504,1450,0.52,0,1,0,1
59,37612,2.3,732,1681,0.99,0,0,1,1
61,11026,3.69,467,2362,0.7,1,0,0,1
41,34220,0.73,539,1100,0.49,0,0,1,1
32,26360,3.33,1047,2027,0.55,0,1,0,1
49,14966,1.95,878,2314,0.11,0,0,1,1
49,12035,2.29,782,1080,0.81,0,1,0,1
41,10652,1.76,457,1857,0.29,0,0,1,1
58,41584,4.51,1176,2242,0.83,0,1,0,1
29,51555,4.19,1150,2170,0.71,0,0,1,1
56,56277,4.33,1180,1053,0.83,1,0,0,1
19,10848,2.35,488,2272,0.93,0,1,0,1
20,49802,1.08,814,1477,0.34,0,0,1,1
54,26323,3.43,614,2360,0.6,0,0,1,1
34,33712,3.52,624,2103,0.19,1,0,0,1
19,49429,2.38,1082,1092,0.69,0,1,0,1
19,32975,0.82,764,2296,0.85,1,0,0,1
45,56925,1.5,1100,1990,0.59,0,0,1,1
40,23293,0.57,709,1237,0.8,1,0,0,1
54,41738,3.72,705,2346,0.62,0,1,0,1
49,34389,4.5,1188,1592,0.56,0,0,1,1
50,29378,4.47,614,1239,0.72,0,1,0,1
18,28754,1.59,913,2044,0.51,0,1,0,1
36,47732,1.43,1170,1053,0.73,0,0,1,1
19,19621,2.58,550,1486,0.71,0,1,0,1
61,58101,1.42,720,2273,0.45,0,0,1,1
43,42199,1.07,1037,1651,0.71,0,1,0,1
49,59472,1.28,763,1246,0.12,0,1,0,1
23,23439,2.4,763,1492,0.15,0,0,1,1
49,12147,2.55,1012,1606,0.41,0,0,1,1
21,33327,3.48,541,1109,0.56,1,0,0,1
28,28416,4.84,576,1750,0.79,0,0,1,1
34,10241,4.6,1185,1477,0.56,0,0,1,1
55,47919,2.11,967,1107,0.55,0,0,1,1
41,33067,1.3,966,2218,0.05,1,0,0,1
22,48240,4.83,487,2306,0.42,0,0,1,1
51,57885,3.46,981,1593,0.59,1,0,0,1
23,16796,3.16,470,2340,0.41,1,0,0,1
39,30444,2.87,521,1435,0.65,1,0,0,1
28,21431,2.03,762,1407,0.29,0,1,0,1
33,42174,3.17,412,1610,0.47,0,1,0,1
50,36736,2.42,535,1080,0.26,1,0,0,1
26,53632,2.84,1162,1989,0.92,1,0,0,1
23,57578,2.83,986,1777,0.01,0,1,0,1
33,27693,0.59,536,1680,0.09,0,0,1,1
46,36145,2.02,488,1524,0.2,0,1,0,1
20,34109,1.21,784,2396,0.85,0,1,0,1
37,45840,4.45,721,1514,0.92,1,0,0,1
53,44694,3.07,772,1492,0.26,1,0,0,1
36,14544,2.41,1187,1467,0.56,0,1,0,1
43,34546,3.46,417,2297,0.98,0,0,1,1
20,14849,1.4,744,1694,0.83,0,0,1,1
36,50982,1.8,677,1094,0.41,0,1,0,1
37,27493,1.7,681,1623,0.57,0,0,1,1
49,12979,3.21,651,2256,0.44,0,1,0,1
24,22208,2.79,1109,1392,0.66,1,0,0,1
58,41431,2.85,1029,1975,0.66,0,0,1,1
50,44744,4.85,803,1575,0.03,0,0,1,1
57,50674,1.26,1137,1857,0.6,0,1,0,1
56,53967,1.49,977,2140,0.0,1,0,0,1
35,56702,3.1,793,1150,0.78,0,0,1,1
57,19354,2.8,482,2021,0.5,1,0,0,1
18,34360,2.54,924,1316,0.08,1,0,0,1
28,45050,2.5,591,1398,0.91,0,0,1,1
45,43541,3.3,1111,1391,0.35,0,0,1,1
42,35449,4.05,1008,2191,0.72,1,0,0,1
40,29433,2.21,924,2127,0.13,0,0,1,1
48,19201,2.77,466,1647,0.95,1,0,0,1
47,15932,3.8,1170,1198,0.46,0,1,0,1
59,44512,2.42,1015,1523,0.2,1,0,0,1
52,34657,1.54,598,1494,0.26,0,1,0,1
24,10672,1.26,660,2377,0.38,0,0,1,1
33,36812,0.81,709,2396,0.73,0,1,0,1
43,30497,3.65,569,1729,0.77,1,0,0,1
19,43798,1.73,1124,1011,0.03,0,1,0,1
18,39980,2.91,1194,1966,0.45,1,0,0,1
29,55455,3.39,982,1891,0.86,0,1,0,1
22,31214,3.74,1194,1190,0.15,0,1,0,1
54,26457,0.68,525,1651,0.98,0,0,1,1
49,22286,1.73,675,1859,0.22,0,0,1,1
26,51372,1.77,1176,1539,0.23,0,1,0,1
58,56095,2.59,846,1365,0.79,0,0,1,1
52,34835,2.65,971,1626,0.7,1,0,0,1
36,43856,1.53,412,2013,0.7,0,1,0,1
33,43755,1.29,652,1208,0.68,0,0,1,1
20,22928,4.27,917,1411,0.8,1,0,0,1
37,22793,2.74,483,1515,0.56,0,1,0,1
41,32235,1.17,669,1532,0.36,0,1,0,1
50,52114,2.6,532,1465,0.04,0,1,0,1
41,17743,4.16,405,2488,0.52,0,1,0,1
28,45569,1.94,630,2431,0.79,0,1,0,1
25,26449,1.3,582,1924,0.22,1,0,0,1
53,33352,3.93,892,1946,0.36,0,1,0,1
55,27764,0.62,1047,1572,0.35,1,0,0,1
57,15578,3.06,1036,1378,0.75,0,0,1,1
37,51837,3.7,902,2128,0.73,0,1,0,1
52,43830,2.57,1099,2403,0.24,0,1,0,1
42,39159,0.62,448,2192,0.92,0,0,1,1
52,19336,4.27,900,1538,0.94,1,0,0,1
42,47459,3.67,1185,1044,0.15,0,1,0,1
46,32736,0.67,844,2446,0.94,0,1,0,1
35,29206,2.5,666,1523,0.24,1,0,0,1
63,39622,1.95,459,1836,0.58,1,0,0,1
35,55167,4.75,772,1215,0.76,1,0,0,1
19,27808,2.61,1016,2167,0.53,0,0,1,1
52,20819,1.05,727,1185,0.62,0,1,0,1
33,48691,0.5,1122,1601,0.38,0,0,1,1
58,51851,2.95,1095,1688,0.68,0,1,0,1
53,35309,1.76,798,1573,0.13,1,0,0,1
50,59152,1.9,1118,1804,0.57,0,1,0,1
21,55814,4.29,917,1831,0.46,1,0,0,1
50,39986,1.74,945,1376,0.86,0,0,1,1
31,22688,2.93,779,1868,0.4,1,0,0,1
38,30047,2.7,1063,2348,0.38,0,1,0,1
37,49579,1.91,959,1634,0.15,0,1,0,1
25,26159,3.14,486,1561,0.01,0,0,1,1
24,47613,3.41,431,2178,0.46,0,0,1,1
20,39622,1.71,915,1052,0.4,1,0,0,1
34,45618,1.54,1011,2042,0.43,0,0,1,1
50,27279,1.86,473,2452,0.27,0,1,0,1
29,37154,1.82,1004,2127,0.26,1,0,0,1
39,58220,1.58,416,1888,0.48,1,0,0,1
39,38252,4.88,753,1320,0.76,0,0,1,1
63,41218,2.1,1148,1077,0.48,0,0,1,1
47,41491,0.53,965,1659,0.08,0,1,0,1
55,25764,3.58,531,1398,0.3,0,1,0,1
55,30594,1.56,583,2460,0.73,1,0,0,1
62,58243,2.31,611,1438,0.34,1,0,0,1
25,58235,3.7,610,1180,0.89,0,1,0,1
44,35817,2.66,1020,2122,0.46,1,0,0,1
44,23003,3.71,1029,1342,0.18,0,1,0,1
51,17824,4.71,858,1558,0.05,0,1,0,1
38,34612,0.7,1075,2067,0.72,0,1,0,1
47,57067,0.89,768,1606,0.61,1,0,0,1
50,20275,2.19,789,2472,0.34,0,1,0,1
45,22188,1.11,861,2085,0.09,0,0,1,1
64,36948,3.15,597,1293,0.71,0,0,1,1
50,13685,4.86,470,2013,0.25,1,0,0,1
22,51602,3.71,528,1857,0.02,0,1,0,1
36,28830,3.73,1072,1475,0.58,0,1,0,1
21,37586,1.72,638,1421,0.47,1,0,0,1
52,46756,3.14,644,2114,0.92,1,0,0,1
34,42104,3.32,490,2416,0.86,1,0,0,1
61,57382,4.56,703,1657,0.77,0,0,1,1
45,22334,3.57,863,1481,0.63,1,0,0,1
47,41957,3.62,713,2446,0.78,0,0,1,1
46,32312,1.02,537,1549,0.08,0,0,1,1
63,57833,3.52,560,1747,0.33,1,0,0,1
23,48702,4.44,518,1622,0.32,1,0,0,1
52,57262,1.73,1037,1887,0.27,1,0,0,1
58,34610,0.75,625,2354,0.56,0,0,1,1
54,28310,1.89,1077,2043,0.58,0,0,1,1
41,49399,1.8,1160,1064,0.5,1,0,0,1
46,26172,0.97,513,1784,0.98,1,0,0,1
63,57928,2.2,1098,1646,0.48,0,0,1,1
48,28143,4.22,428,1461,0.55,1,0,0,1
52,14605,4.5,582,1370,0.81,0,1,0,1
50,12676,4.24,1066,1028,0.86,1,0,0,1
38,17790,4.74,419,1353,0.06,1,0,0,1
49,38485,4.68,474,1854,0.59,0,1,0,1
40,11382,1.32,435,1720,0.39,0,1,0,1
50,36160,0.69,536,1700,0.87,0,1,0,1
20,21310,1.19,770,1401,0.15,0,0,1,1
35,20138,2.51,988,1115,0.26,0,1,0,1
42,45413,4.33,719,2026,0.27,0,1,0,1
59,46267,2.83,865,1781,0.99,0,1,0,1
48,47265,4.55,907,2274,0.89,0,0,1,1
20,48851,0.81,896,2203,0.6,0,0,1,1
57,19964,4.71,449,2173,0.1,0,0,1,1
63,21237,4.47,558,1299,0.65,1,0,0,1
41,53555,3.55,877,2146,0.51,0,0,1,1
49,54347,1.45,776,2061,0.28,0,0,1,1
64,57811,4.73,710,1413,0.42,0,1,0,1
39,18428,1.48,993,1825,0.93,0,1,0,1
40,40281,4.75,1099,1674,0.05,1,0,0,1
19,49658,4.71,997,2161,0.44,0,1,0,1
44,22617,4.15,1054,1646,0.98,0,0,1,1
59,18650,4.49,693,1525,0.29,0,1,0,1
19,56705,2.94,681,1244,0.89,1,0,0,1
43,56822,3.71,997,1575,0.13,0,1,0,1
34,36248,0.6,444,2398,0.04,0,0,1,1
57,58140,0.58,922,1055,0.19,1,0,0,1
50,18376,4.7,493,2047,0.68,0,1,0,1
26,23289,1.75,1045,1493,0.1,0,0,1,1
60,46945,4.19,927,2340,0.62,0,0,1,1
56,10312,2.3,1139,1744,0.66,0,1,0,1
46,41908,4.17,1054,1928,0.71,0,0,1,1
59,12990,1.07,613,1622,0.24,1,0,0,1
43,47386,1.27,1145,1274,0.08,0,0,1,1
52,36523,3.42,1070,1658,0.38,0,0,1,1
42,32021,0.5,762,1000,0.92,0,1,0,1
41,53694,2.1,879,1704,0.09,1,0,0,1
30,28204,0.87,640,1378,0.53,0,0,1,1
24,56734,1.68,400,1769,0.93,0,0,1,1
53,15956,4.24,614,2371,0.94,0,1,0,1
62,13413,4.69,999,2166,0.16,0,1,0,1
37,36611,2.45,594,2430,0.34,1,0,0,1
18,15278,4.19,1128,1130,0.25,0,1,0,1
25,53794,0.57,1042,2134,0.15,0,1,0,1
63,21409,3.97,1145,1157,0.26,0,0,1,1
33,54217,4.86,957,1529,0.91,0,1,0,1
31,29656,3.56,1094,1379,0.86,1,0,0,1
29,18221,3.91,1186,1076,0.15,0,0,1,1
40,43296,4.17,565,1151,0.31,0,1,0,1
32,45561,2.13,477,1261,0.37,0,0,1,1
45,17055,0.95,497,2395,0.46,0,1,0,1
51,41043,2.43,977,2422,0.47,0,0,1,1
19,44270,0.67,535,2313,0.69,0,1,0,1
49,18992,3.55,590,2261,0.89,1,0,0,1
40,33033,4.4,1063,1936,0.58,0,0,1,1
39,27137,4.42,1108,1712,0.8,0,0,1,1
42,48131,4.34,651,1991,0.39,1,0,0,1
39,10771,2.13,550,1271,0.59,1,0,0,1
39,50126,3.24,464,1483,0.55,0,0,1,1
59,15362,2.24,955,1973,0.02,0,0,1,1
23,19407,0.6,558,1073,0.52,0,1,0,1
32,53860,2.07,538,1945,0.73,0,1,0,1
60,33244,4.64,595,2475,0.1,0,0,1,1
54,40339,2.74,412,1191,0.44,0,0,1,1
50,54057,3.65,869,1630,0.43,0,1,0,1
25,42274,4.16,678,1610,0.9,0,1,0,1
61,55092,0.82,691,1395,0.23,0,0,1,1
61,18842,2.12,1156,2442,0.55,0,1,0,1
22,28497,4.92,920,2017,0.22,1,0,0,1
56,19599,0.6,697,1536,0.87,0,0,1,1
21,39726,4.95,831,2000,0.81,0,0,1,1
23,51361,4.04,740,1184,0.31,1,0,0,1
62,56079,1.01,836,1662,0.18,0,0,1,1
49,34065,2.89,406,1512,0.88,0,1,0,1
47,57479,4.73,753,1100,0.93,0,0,1,1
64,49417,4.07,812,1383,0.17,0,1,0,1
52,52479,4.02,1014,2498,0.45,1,0,0,1
57,45797,3.81,1016,2182,0.86,0,0,1,1
33,47539,0.69,585,1569,0.31,0,1,0,1
30,48151,3.2,780,1959,0.38,1,0,0,1
59,25395,1.87,958,1170,0.12,1,0,0,1
47,36648,1.37,1088,1240,0.87,0,1,0,1
36,39095,2.19,900,2114,0.39,0,1,0,1
34,54412,4.05,895,2160,0.79,0,1,0,1
36,50683,1.07,519,2222,0.37,1,0,0,1
45,56558,1.94,562,1765,0.91,1,0,0,1
43,38419,2.09,418,1014,0.88,0,0,1,1
54,45814,1.07,1068,1342,0.58,0,1,0,1
43,56700,1.11,590,2482,0.74,0,0,1,1
40,37306,1.47,818,2292,0.75,0,0,1,1
26,34521,3.34,609,1087,0.33,0,0,1,1
29,35754,2.4,1120,1823,0.15,1,0,0,1
18,26872,4.99,1012,1515,0.98,0,0,1,1
18,41141,1.21,431,2338,0.39,0,1,0,1
64,46304,0.83,806,2225,0.08,1,0,0,1
51,42876,4.85,1173,2390,0.34,0,0,1,1
49,46261,3.58,818,1749,0.97,1,0,0,1
42,57735,1.21,425,1687,0.95,0,0,1,1
57,46287,4.08,554,1934,0.89,1,0,0,1
62,12382,2.29,524,1311,0.73,1,0,0,1
18,21887,3.74,418,2119,0.09,0,1,0,1
33,16679,2.25,668,1642,0.89,0,1,0,1
56,38422,3.41,1056,1021,0.55,1,0,0,1
22,14543,3.64,1175,2386,0.17,0,0,1,1
39,51964,0.7,1110,1571,0.37,0,1,0,1
46,41806,1.35,818,1779,0.02,1,0,0,1
20,48651,3.14,1063,1001,0.19,0,0,1,1
29,20857,0.7,437,1192,0.26,1,0,0,1
43,16473,1.77,872,1516,0.51,1,0,0,1
33,34544,4.44,447,2490,0.71,1,0,0,1
54,44059,3.98,776,1633,0.63,1,0,0,1
39,54135,4.03,824,1428,0.26,0,0,1,1
46,55845,0.64,1119,1897,0.54,0,1,0,1
31,23478,2.53,891,2426,0.51,1,0,0,1
45,45374,4.32,768,1930,0.29,0,1,0,1
22,11579,1.62,923,1866,0.13,0,0,1,1
64,27423,4.67,420,2274,0.84,0,0,1,1
47,41215,0.59,790,2026,0.47,0,0,1,1
63,44849,3.96,430,2136,0.65,0,1,0,1
22,22205,0.61,980,2138,0.46,0,0,1,1
29,37343,2.08,961,1566,0.84,1,0,0,1
33,43741,4.97,927,1671,0.88,0,0,1,1
43,10965,3.13,633,1746,0.6,1,0,0,1
43,12614,4.34,696,1820,0.3,0,1,0,1
38,55943,2.13,1066,2132,0.11,1,0,0,1
56,28172,4.64,697,1451,0.61,1,0,0,1
53,12121,2.27,1077,1023,0.08,0,0,1,1
50,48423,1.88,1072,2195,0.82,0,1,0,1
47,59050,4.17,847,1968,0.66,0,1,0,1
54,47486,3.69,616,1665,0.48,0,0,1,1
40,52225,4.78,977,1023,0.44,1,0,0,1
27,22744,2.22,1078,2052,0.02,0,0,1,1
22,40959,4.96,789,1194,0.12,1,0,0,1
53,41873,1.38,878,1137,0.21,0,0,1,1
51,57774,3.14,674,2212,0.7,0,1,0,1
48,58190,2.22,500,1719,0.24,0,1,0,1
27,28962,1.08,1048,1243,0.58,1,0,0,1
36,49946,0.99,541,2259,0.35,1,0,0,1
49,13925,1.96,650,1901,0.01,0,1,0,1
18,49288,1.86,850,2261,0.88,0,1,0,1
22,28311,1.95,427,1052,0.35,1,0,0,1
62,59225,4.29,969,2250,0.05,1,0,0,1
21,53141,2.45,637,1568,0.38,0,1,0,1
33,30126,2.19,979,1822,0.11,0,1,0,1
41,15730,3.76,801,1006,0.09,1,0,0,1
33,14401,2.29,685,1766,0.62,1,0,0,1
19,24183,4.11,804,1103,0.19,1,0,0,1
45,31753,3.85,1143,1385,0.08,1,0,0,1
49,33720,2.73,706,1914,0.63,1,0,0,1
44,11220,4.84,609,1831,0.44,0,1,0,1
37,21598,4.58,786,1914,0.81,0,1,0,1
41,18631,0.87,718,1652,0.08,0,1,0,1
29,12843,2.55,1058,1582,0.54,0,1,0,1
52,46001,0.58,560,2022,0.91,0,1,0,1
50,20295,3.32,735,1384,0.72,1,0,0,1
50,26332,1.28,829,2268,0.39,1,0,0,1
60,18374,0.84,1139,1718,0.31,1,0,0,1
54,21679,2.94,987,1106,0.86,0,1,0,1
29,42635,1.11,662,1242,0.14,0,1,0,1
20,25362,4.79,1076,1059,0.36,1,0,0,1
18,50956,4.27,573,2288,0.03,0,0,1,1
50,21249,4.43,680,2342,0.56,0,0,1,1
57,37402,3.02,709,2007,0.63,0,0,1,1
27,36365,3.93,1089,1187,0.14,1,0,0,1
60,49087,4.41,1011,1739,0.85,0,1,0,1
61,17988,1.74,614,1795,0.97,1,0,0,1
46,50247,0.65,715,2037,0.48,1,0,0,1
30,27332,2.14,1074,1607,0.7,0,0,1,1
29,19369,1.67,454,2144,0.09,0,1,0,1
48,26776,4.41,904,2225,0.64,0,1,0,1
63,19579,1.33,740,2185,1.0,0,0,1,1
19,42714,2.25,1091,1437,0.63,0,1,0,1
52,42448,4.47,1022,1949,0.02,1,0,0,1
40,12028,4.6,863,2192,0.11,1,0,0,1
34,23367,0.96,1151,2103,0.42,0,0,1,1
43,52267,4.4,1178,1576,0.65,0,1,0,1
25,40358,1.15,1125,1476,0.52,0,1,0,1
46,28334,3.13,1146,1253,0.39,0,0,1,1
43,31692,4.53,794,1780,0.75,0,0,1,1
27,40289,1.35,904,2019,0.13,0,0,1,1
43,15135,3.22,1199,2498,0.06,1,0,0,1
51,24522,4.24,983,1718,0.08,0,0,1,1
